Theta	Phi	Total-adj
151	6	5.30
152	6	-3.46
153	6	0.92
154	6	0.20
155	6	0.88
156	6	3.04
157	6	2.89
158	6	-1.80
159	6	0.56
160	6	-6.53
161	6	-5.76
162	6	-7.43
163	6	-10.60
164	6	-4.86
165	6	-4.51
166	6	-3.86
167	6	-3.18
168	6	-5.33
169	6	-12.85
170	6	-8.07
171	6	-7.36
172	6	-4.55
173	6	-7.54
174	6	-7.95
175	6	-4.80
176	6	-6.86
177	6	-8.85
178	6	-0.38
179	6	2.63
180	6	2.09
0	7	-1.90
1	7	-2.24
2	7	-3.07
3	7	-0.12
4	7	-1.05
5	7	-5.32
6	7	-9.81
7	7	-10.42
8	7	-8.40
9	7	-3.20
10	7	-18.73
11	7	-10.41
12	7	-10.79
13	7	-8.66
14	7	-10.36
15	7	5.05
16	7	1.18
17	7	3.47
18	7	4.01
19	7	2.50
20	7	-2.25
21	7	-2.52
22	7	-8.25
23	7	-10.14
24	7	-11.27
25	7	-7.20
26	7	-20.92
27	7	-9.62
28	7	-14.07
29	7	-12.23
30	7	-9.05
31	7	-8.39
32	7	-1.37
33	7	-5.72
34	7	0.66
35	7	-2.45
36	7	-2.87
37	7	-0.76
38	7	1.60
39	7	3.86
40	7	1.68
41	7	-1.57
42	7	-3.30
43	7	-0.19
44	7	-1.19
45	7	-0.38
46	7	-1.05
47	7	2.63
48	7	-0.31
49	7	0.24
50	7	-0.96
51	7	1.33
52	7	0.63
53	7	-0.83
54	7	-0.51
55	7	-2.46
56	7	-0.97
57	7	-2.44
58	7	2.02
59	7	0.19
60	7	-2.20
61	7	-1.96
62	7	1.20
63	7	2.66
64	7	4.57
65	7	0.92
66	7	0.88
67	7	0.18
68	7	-1.59
69	7	-3.27
70	7	0.58
71	7	-2.01
72	7	-1.06
73	7	0.69
74	7	-0.48
75	7	-0.66
76	7	-1.74
77	7	0.31
78	7	-1.21
79	7	-0.97
80	7	-0.73
81	7	-2.20
82	7	-0.98
83	7	-0.33
84	7	1.49
85	7	0.86
86	7	-1.94
87	7	-2.50
88	7	-5.97
89	7	-14.70
90	7	-13.98
91	7	-19.80
92	7	-27.74
93	7	-9.10
94	7	-16.29
95	7	-24.35
96	7	-12.41
97	7	-15.53
98	7	-9.57
99	7	-10.51
100	7	-9.52
101	7	-9.98
102	7	-7.82
103	7	-13.29
104	7	1.75
105	7	-5.59
106	7	-4.68
107	7	-2.90
108	7	0.50
109	7	0.29
110	7	1.02
111	7	1.04
112	7	-6.97
113	7	0.86
114	7	-1.67
115	7	1.39
116	7	0.42
117	7	0.02
118	7	1.33
119	7	-1.96
120	7	0.02
121	7	-5.04
122	7	-3.23
123	7	1.10
124	7	0.04
125	7	1.45
126	7	-1.11
127	7	-0.07
128	7	-0.82
129	7	-0.25
130	7	0.32
131	7	-1.80
132	7	-0.11
133	7	-0.27
134	7	-1.16
135	7	0.03
136	7	0.67
137	7	-5.71
138	7	-13.81
139	7	-15.70
140	7	2.72
141	7	0.00
142	7	1.90
143	7	-0.27
144	7	-1.43
145	7	0.20
146	7	-0.90
147	7	4.03
148	7	5.35
149	7	1.02
150	7	4.42
151	7	2.22
152	7	4.94
153	7	1.30
154	7	1.17
155	7	1.75
156	7	2.16
157	7	1.98
158	7	3.03
159	7	3.47
160	7	-5.15
161	7	-1.49
162	7	-7.73
163	7	-6.38
164	7	-4.99
165	7	-3.86
166	7	-5.39
167	7	-4.66
168	7	-7.07
169	7	-4.94
170	7	-7.18
171	7	-4.04
172	7	-5.66
173	7	-7.63
174	7	-3.89
175	7	-5.42
176	7	-3.16
177	7	-0.60
178	7	-0.14
179	7	2.18
180	7	2.09
0	8	-1.90
1	8	-2.27
2	8	-3.06
3	8	-2.72
4	8	-1.02
5	8	-5.02
6	8	-8.84
7	8	-13.49
8	8	-9.80
9	8	-15.42
10	8	-11.42
11	8	-8.06
12	8	-8.31
13	8	-5.18
14	8	-6.02
15	8	-5.37
16	8	-5.64
17	8	-4.11
18	8	-0.01
19	8	4.23
20	8	-11.44
21	8	-4.27
22	8	-4.54
23	8	-5.08
24	8	-5.91
25	8	-13.10
26	8	-14.93
27	8	-15.12
28	8	-13.80
29	8	-7.98
30	8	-7.71
31	8	-9.44
32	8	-2.51
33	8	-3.88
34	8	-1.97
35	8	1.21
36	8	1.61
37	8	-2.79
38	8	7.33
39	8	3.78
40	8	0.30
41	8	4.87
42	8	2.30
43	8	1.71
44	8	1.81
45	8	-0.70
46	8	-1.14
47	8	1.70
48	8	-1.21
49	8	-1.50
50	8	2.88
51	8	2.22
52	8	0.62
53	8	-0.08
54	8	0.09
55	8	-0.94
56	8	-1.53
57	8	-2.47
58	8	-0.33
59	8	1.35
60	8	4.23
61	8	3.69
62	8	-0.54
63	8	-0.11
64	8	3.79
65	8	-0.04
66	8	-1.91
67	8	1.13
68	8	-0.37
69	8	-0.14
70	8	0.70
71	8	1.26
72	8	1.45
73	8	1.20
74	8	-1.60
75	8	-1.38
76	8	-0.36
77	8	1.05
78	8	-0.02
79	8	0.47
80	8	-0.80
81	8	-0.05
82	8	2.56
83	8	-0.78
84	8	2.72
85	8	0.26
86	8	1.12
87	8	-3.96
88	8	-6.01
89	8	-5.76
90	8	-6.24
91	8	-2.62
92	8	-19.74
93	8	-24.91
94	8	-17.53
95	8	-18.44
96	8	-19.72
97	8	-11.23
98	8	-5.70
99	8	-5.29
100	8	-5.48
101	8	-8.91
102	8	-12.76
103	8	-18.52
104	8	-4.77
105	8	-3.35
106	8	-2.46
107	8	-3.26
108	8	1.95
109	8	2.17
110	8	1.70
111	8	2.65
112	8	1.11
113	8	-1.24
114	8	0.68
115	8	0.50
116	8	-1.92
117	8	-0.94
118	8	-1.31
119	8	1.33
120	8	0.63
121	8	-0.72
122	8	1.67
123	8	0.71
124	8	0.13
125	8	-2.75
126	8	-2.57
127	8	0.42
128	8	0.74
129	8	-3.80
130	8	-2.79
131	8	1.41
132	8	0.26
133	8	-1.66
134	8	-0.60
135	8	0.37
136	8	-1.14
137	8	-11.52
138	8	-9.07
139	8	-6.36
140	8	3.51
141	8	-2.11
142	8	-2.53
143	8	-0.10
144	8	-0.72
145	8	0.42
146	8	0.09
